δέ;but
μέμαα;to wish eagerly, strive, yearn, desire
κύδιστος;most honoured, noblest
βωτιάνειρα;man-feeding, nurse of heroes
νόος;mind,
ῥέζω;y
ἄχος;pain, distress,
κολεόν;sheath, scabbard
ἀταρτηρός;mischievous, baneful,
ὀρεσκῳ̂ος;lying on mountains, mountain-bred, wild,
Διογενής;sprung from Zeus,
τελήεις;perfect, complete
τερπικέραυνος;delighting in thunder
ἀρνός;wool
ἄκρος;at the farthest point
ὁμηγερής;assembled,
ἐπέρχομαι;come upon
ἄσβεστος;unquenchable, inextinguishable,
κατάκειμαι;lie down
κει̂μαι;Aër.
ὁμοιόω;make like,
ἀναθηλέω;sprout afresh,
παλάμη;palm of the hand
φθίω;k[snull ]i-,
μεθομιλέω;hold converse with
ὑψιβρεμέτης;high-thundering,
ἑκατόγχειρος;hundred-handed,
ἐπικραίνω;—bring to pass, accomplish
ῥηγμίν;Wiener Sitzb.
ἐπιστέφω;filled
λείβω;pour, pour forth
πανημέριος;all day long
δικάζω;Bis Acc.
πράσσω;pass through, pass over,
ποιπνύω;bustle about,
εὐτείχεος;well-walled
κάμνω;work
χαλκός;copper,
ἑτέρωθεν;from the other side
τηλόθεν;from after
πένομαι;toil, work
βένθος;depth
κάρηνον;head
λοιμός;plague
παλιμπλάζομαι;foiled, driven back
δέρκομαι;see clearly, see,
ἐπαίρω;lift up and set on,
δευ̂ρο;hither,
τέος;thing
κοτέω;bear
θαμβέω;to be astounded
ἀθερίζω;make light of
ἀπερείσιος;countless
κιχάνω;reach, hit
αἴξ;goat
γεραιός;old
ὄναρ;dream, vision in sleep,
κέλλω;drive on
κύπελλον;big-bellied drinking-vessel, beaker, goblet
τριπλόος;triple, threefold,
ἠχήεις;sounding, ringing, roaring
μογέω;toil, suffer
ἰ̂φι;by force
μελαίνω;blacken, make black
ἰ̂φι;[unavailable]
γενέτης;begetter, ancestor
Ἰ̂φις;[unavailable]
γενετή;the hour of birth
ἀράομαι;pray to
ἀκέων;softly, silently
βιάω;constrain
ὁμόω;unite
ἀντάω;come opposite to, meet face to face, meet with,
ἄπιος;far away, far off, distant,
οἰ̂ος;alone, lonely,
οἰ̂ος;alone
ἔχις;viper
Μάκαρ;[unavailable]
ἀποαιρέομαι;[unavailable]
ὠ̂κα;quickly, swiftly,
σω̂ς;safe and sound, alive and well
οὐρεύς;a guard, warder
ὄρος;mountain, hill,
σω̂ς;[unavailable]
ἐρεου̂ς;of wool, woollen,
ποτάομαι;fly hither and thither,
ἕλος;marsh-meadow
μάχη;battle, combat
κλίσις;bending, inclination
ὁδός;way, road,
κνισός;[unavailable]
κλισιάδες;folding doors
δεύομαι;[unavailable]
ὁδός;a way, path, track, road, highway
λάζω;[unavailable]
πάρος;aforetime, formerly
δεύω;wet, drench,
κουρεύς;barber, hair-cutter
ἕλη;[unavailable]
δεύω;miss, want,
κνι̂σα;steam and odour of fat
ἕλη;[unavailable]
βία;bodily strength, force
κνισάω;fill with the savour of burnt sacrifice
νέομαι;go
ἀρόω;plough, till,
ἀρίς;a carpenter's tool, an auger
ἀρίς;bow-drill,
κήλη;tumour
Μέγαρα;[unavailable]
φύλλον;leaf
ὁμός;one and the same, common, joint,
ὠ̂μος;the shoulder with the upper arm
κράς;head
Κράτης;[unavailable]
ἤιος;[unavailable]
κράτος;strength, might
μέγαρον;large room, hall
ὠμός;raw, undressed
ἔρομαι;ask, inquire,
φυλλάς;leafy,
Μέγαρα;to Megara
ὠμός;raw, crude
φυλλάζω;frondesco,
ἀίω;to perceive
ὀφέλλω;increase, enlarge, strengthen
ἔτης;clansmen
βασιληίς;royal
παρίημι;let fall at the side, let fall
ὀφέλλω;sweep
παρόω;[unavailable]
πού;anywhere, somewhere
δυάω;plunge in misery,
ἑστία;hearth of a house,
πού;somewhere, anywhere; methinks, doubtless, perhaps.
βασίλη;queen, princess,
ἐτάζω;examine, test,
ἑστιάω;receive at one's hearth
που̂;where?
ὀφέλλω;[unavailable]
πάροιθε;before
θοάζω;[unavailable]
θοάζω;move quickly, ply rapidly
θοάζω;sit
πολίζω;build a city
πολιά;greyness of hair,
πολιάζω;[unavailable]
πολιός;grey, grizzled, grisly,
θεάομαι;gaze at, behold
ποτή;flight,
ποτή;sample of wine,
ἀντίος;set against,
φύω;bring forth, produce, put forth,
νεάω;plough up,
ποθι;anywhere
πόθι;where?
νη̂ις;unknowing of, unpractised in
Ναιάς;a Naiad, a river nymph
ἄρος;use, profit, help,
οἰάω;[unavailable]
προθέω;do they
πρύμνα;stern, poop
πίμπρημι;burn, burn up
εἴρω;say, speak, tell
ἔμπας;all
ἴλαος;propitious, gracious
οὔτις;no one
Ναίς;[unavailable]
Πάν;Pan
ἐπαίτιος;blamed for
ἑταίρα;a companion
στενάχω;groan, sigh, wail
οἰωνός;a large bird, bird of prey,
ὀφελής;advantageous,
σχίζα;piece of wood cut off, lath, splinter
ἐλελίζω;cry
δαιμονιάω;to be possessed of a God,
ἄρδω;water
προστίθημι;put to
λάω;to behold, look upon
ὅρμος;necklace.
πωλέομαι;go up and down
ἀποστείχω;go away, go home,
κερτόμιος;heart-cutting, stinging, reproachful
κρεισσόω;[unavailable]
δεπάζω;[unavailable]
οἰωνοπολέω;practise augury,
Ποδάρκης;[unavailable]
κολεός;sheath of the heart, pericardium
δαίμων;god, goddess,
λυ̂μα;water used in washing
ὑγράζω;to be wet
κλείω;shut, close, bar
ἠριγένεια;early-born, child of morn
μέλπω;sing before
κλαγγή;any sharp sound
ἀνδροφόνος;man-slaying,
παρίζω;sit beside
γενητός;originated
πατέομαι;eat
ὑψου̂;high,
ἐργάζομαι;work, labour,
θρόνον;flowers embroidered on cloth
θεοπρόπιον;a prophecy, oracle
ἐνθαδί;[unavailable]
πρόσσω;[unavailable]
ἑξείης;in order, one after another
ψυχάζω;refresh oneself in the shade,
ἕρμα;prop, support
κόρος;boy, lad
νεύω;incline in any direction
μαλλός;flock of wool
ἄπωσις;thrusting
ἐπιτέλλω;rise,
μαρτυρέω;bear witness, give evidence
ἀυτή;to cry
μολπάζω;sing of
κουλεόν;[unavailable]
πρυμνός;hindmost, undermost, end-most
ἤπειρος;terra firma, land
εἴρω;ask
ὑπέχω;hold under,
ἐναντίον;[unavailable]
Ἀμφιγυήεις;with both feet crooked, lame,
οὐτάω;wound, hurt, hit
ἄμυξις;tearing, rending, mangling,
ἐπαιτέω;ask besides,
στεναχέω;[unavailable]
ἐφήκω;to have arrived
σχίζω;split, cleave
τόξον;bow,
ἐπιφέρω;bring, put
λωίων;more desirable, more agreeable
πύθω;cause to rot
ἀπείρων;without experience, ignorant,
λάω;seize, hold
πωλέω;sell
ἀποστίζω;mark with points
μέλω;to be an object of care
κερτομέω;taunt, sneer at
Πύρις;[unavailable]
ἑλικω̂πις;with lively eyes
δαιμονάω;to be under the power of a
ἄγγελος;messenger, envoy
λυ̂μα;[unavailable]
ὑγρός;wet, moist, fluid
ἠριγένειον;[unavailable]
ἀμφιγύεις;he that halts in both feet, the lame one
ἀνδροφονέω;slay men,
ἵκω;come
ἀργός;shining, glistening,
κη̂λον;shaft
θρόνος;seat, chair
ἵλαος;propitious, gracious
πρόπας;all
οὔτι;in no wise
ἐπίτηδες;designedly, deceitfully
καρπός;fruit
ὄζος;bough, branch, twig,
πρόσω;forwards, onwards
ἑξη̂ς;one after another, in order, in a row,
ψυχή;life,
ἕρμα;earrings
αὐδή;human voice, speech
αἰ̂σις;[unavailable]
κάος;thatwhich burns
μολπή;dance
πρήθω;burn,
ὀνειρόπολος;interpreter of dreams,
μαλακός;soft
ναίω;dwell, abide
αἱ̂μα;blood
συνδέομαι;join in entreating
πόσις;husband, spouse,
ὑπισχνέομαι;take upon oneself,
ἐναντίος;opposite
ἄφυσσα;[unavailable]
συνθέω;run together with
ἀπρίατος;unbought, not paid for
οὐτάζω;to wound
τετραπλῃ̂;in a fourfold manner, fourfold
δήν;long, for a long while
Ταυρώ;[unavailable]
δαμάω;[unavailable]
ἐπιμελέομαι;take
διείρομαι;to question closely
ἐποίζω;lament over,
μαντόσυνος;oracular
πυνθάνομαι;learn
ἀπείρων;boundless, endless,
χραίσμη;help, succour,
δίπτυχος;double-folded, doubled,
οἰ̂νον;[unavailable]
ταυ̂ρος;bull
Οἰωνός;[unavailable]
ὕστερον;the afterbirth,
μη̂ρα;[unavailable]
κνίζω;scratch, gash
εὔκηλος;free from care, at one's ease
αἴτιος;culpable, responsible
ἱερόω;consecrate, dedicate
ἀργός;not working the ground,
δεκάτη;[unavailable]
πυράζω;singe
προπή;decus,
ἀποδέχομαι;accept,
οὔτι;not, I suppose . . , surely you do not mean that
ἐπιτηδές;of set purpose, advisedly,
καρπός;wrist
ὄζος;[unavailable]
κου̂ρος;son
στει̂ρα;forepart of a ship's keel
νόησις;intelligence, understanding,
πόρος;means of passing a river, ford, ferry,
ἑλκέω;drag about, tear asunder
ὕστατος;last,
        hindmost.
νόσος;sickness, disease, plague,
ὀνειροπόλος;one occupied with dreams, a dreamer
μαλακόω;[unavailable]
ποδαρκής;succouring with the feet, running to the rescue
ναίω;to run over, to be full
θέμις;that which is laid down
γλω̂σσα;tongue
αἱμάς;gush, stream of blood
συνδέω;bind
Παιάν;physician, healer
πόσις;drinking, drink, beverage,
συντίθημι;place
τάραξις;confusion
ἀπριάτην;without purchase-money,
οὐτίς;[unavailable]
τετραπλόος;fourfold
εἱ̂ς;sem
ἀμύσσω;scratch, tear, lacerate,
πάρειμι;sum
Ταυρών;[unavailable]
δαμάζω;overpower
πάσσω;sprinkle
κήλας;adjutant, Leptoptilus argala
ἐπιρρώννυμι;add strength to, strengthen
πολυδειράς;with many ridges,
τοξάζομαι;shoot with a bow,
διείρω;pass
μαντοσύνη;the art of divination
πει̂σις;affection, susceptibility
ναί;yea, verily
πελάω;[unavailable]
κνέφας;darkness
οἰ̂νος;wine,
νει̂κος;quarrel, strife, feud,
ταυράω;want the bull
λίαν;very, exceedingly
δικασπόλος;q[uglide]el,
ἔργνυμι;to confine
ἐφίζω;set upon
μίστυλλον;piece of meat
κορύπτω;butt with the head
ἁγέομαι;custom, prescription
εὔκηλος;easily burning
ἀνᾴσσω;[unavailable]
ξυνήιος;common property, common stock
πίμπλημι;fill
αἰτέω;ask, beg
νεώτερος;younger,
προθέω;run before,
κηλάς;mottled
εἴρω;fasten together in rows, string
πυρή;any place where fire is kindled
ἔμπας;alike
σαόω;rescue
ἀποδείκνυμι;point away from
οὔτι;not at all yet
ἔστε;up to the time that, until,
χρυσει̂ον;gold-mine,
ὀφείλω;-IG
κου̂ρος;loppings, twigs stripped from a tree
στει̂ρα;that has not brought forth young
ἐλελίζω;whirl round
δαιμόνιος;of
πόρω;furnish, offer, give,
λῳ̂ος;[unavailable]
πρόσθεν;before
ἀτιμάζω;hold in no honour, esteem lightly,
νου̂σος;sickness,
        illness, disease.
λάπτω;Epic. Alex.Adesp.
ὅρμος;cord, chain,
βάλλις;plant
ἀνδρίς;woman,
κρείσσων;stronger, mightier
οἰωνοπόλος;one busied with the flight and cries of birds, an augur,
θεμιστός;oracular
ἀντιβίην;against, face to face,
γλωσσός;talking, chattering
κλαίω;cry, wail, lament
Παιήων;Paean
ἠπειρόω;to make into mainland
μέλπω;celebrate with song and dance
κλαγγέω;[unavailable]
ἡγέομαι;go before, lead the way
σώζω;to save, keep
ταράσσω;stir, trouble
ἀπωθέω;thrust away, push back,
τευ̂χος;tool, implement
ἀραρίσκω;join, fit together
εἴσειμι;enter, go into,
εἰδοί;Idus
δέκατος;tenth,
ὑψόω;lift high, raise up,
ἐπιρρώομαι;apply one's
πολυδειράς;many-necked,
πυ̂ρ;fire
ὑβρίς;the great eagle owl, Strix bubo,
κύδος;reproach, abuse
δωός;[unavailable]
πελάζω;approach, draw near
διπτυχής;[unavailable]
κνεφάζω;cloud over, obscure
μα̂λλον;[unavailable]
ἄμυμος;[unavailable]
δικασπολέω;judge,
ἐπιτέλλω;enjoin, prescribe, command,
ἀγγέλλω;bear a message
μάρτυρος;witness.
ἀυτέω;to cry
ἐγείρω;awaken, rouse
μιστύλλω;cut up
κορυφή;head, top
ἀναίσσω;dart up, spring up;
πιμπλάω;[unavailable]
Ἴδη;Ida
ἴδη;timber-tree
ἴδη;sheen of metal
ἰτός;ibo
ἴτης;[unavailable]
βιόω;live, pass one's life
ἀγάζω;exalt overmuch,
ἐρέομαι;[unavailable]
Ἀπις;Apis,
ἐκει̂νος;the person there, that person
κεινός;[unavailable]
καλός;beautiful
ὅπως;as, in such manner as,
ἄπαις;childless,
ἤν;if;
κενός;empty
ὅπως;how,
ἤν;see there!
κενόω;empty
ὅπως;in any way whatever, ever so little,
ὅπως;[unavailable]
Ἀ̂πις;Apis
κει̂νος;that, those
καλός;beautiful, beauteous, fair
ὅπως;how ever,
ἰός;arrow
ἰός;poison
ἴον;violet, Viola odorata
ποθή;longing, desire for . . ,
Δίον;[unavailable]
ὁμω̂ς;equally, likewise, alike,
διά;through;
ὅμως;all the same, nevertheless, notwithstanding, still
μά;by
Δι̂α;[unavailable]
ὁμω̂ς;[unavailable]
μα̂;[unavailable]
ἰ̂δος;sweat
ὅμως;all the same, nevertheless,
οὑ̂;where
μά;[unavailable]
μα̂;[unavailable]
οὑ̂;him, her
μά;[unavailable]
Δίη;[unavailable]
γλύκιος;sugary, sickly
εὐχετάομαι;pray
μοιράω;share, divide, distribute
ἔντεα;fighting gear, arms, armour,
ποντοπορέω;sea-sailing,
τήκω;melt, melt down
ὀπίσω;backwards,
ῥέπω;turn the scale, sink
αἰ̂νος;tale, story
ἀντιθέω;run against
πονέομαι;be engaged in
        toil, toil, labor, be busy
ἅλιος;fruitless, idle
ἐρετμόν;oar,
πλέως;full, filled,
ἐρέπτομαι;feed on,
τελειόω;make perfect, complete
ὄπις;the vengeance
ἄξος;[unavailable]
ξαίνω;scratch, comb,
λόχος;an ambush
τομός;cutting, sharp,
ἀμβροσίη;ambrosia
γλυκίζω;treat with sweetmeats
εὐνάω;lay
Μένων;[unavailable]
πόνος;work,
κίων;pillar
μείρομαι;receive as one's portion
μοιράζω;[unavailable]
κέω;[unavailable]
ὀπίζω;extract juice from,
ἀπαίρω;lift off,
λιάζομαι;bend, incline
ἀκοή;hearing, sound heard
πονέω;work hard,
ἐρετμός;rowing,
ἐχέτης;man of substance
εἴσω;to within, into :
φύος;[unavailable]
χολάω;to be full of black bile, to be melancholy mad,
ὄψ;voice
ὄις;ram
ξανθός;yellow,
τάχα;quickly, presently, forthwith
λόχος;ambush
ἄντη;prayer
εὐνάζω;lay
Κυάνεαι;Dark-rocks
ὑπόδρα;from under
μείρομαι;[unavailable]
ἐντός;within, inside
ἐξεράω;evacuate,
γη̂ρας;old age
αὑ̂;bow wow,
νίκη;victory,
χρει̂ος;[unavailable]
λιάζω;[unavailable]
αἴνη;praise, fame
κήδεος;the charge of burying
ἀκουή;hearing;
πορφύρεος;heaving, surging,
ὁμου̂;at the same place, together,
πίνω;Aër.
ἐπειλέω;wind up,
ἐρετμόω;furnish with oars, set to row,
εἰσίημι;sendinto,
ἱκανός;sufficing, becoming, befitting
Κυ̂νος;[unavailable]
ἔμμορος;partaking in, endued with
ποντόπορος;seafaring,
ἔθω;to be accustomed, to be wont
ὄψ;the eye, face
ταχύς;swift, fleet
λοχός;[unavailable]
κυάνεος;made of
ἀντιόομαι;resist, oppose,
κατανέω;heap, pile up
ἄντην;against, over against,
ἀντίθεος;equal to the gods, godlike
εὐνή;bed
ὑποδράω;serve,
ἐντός;within, inside,
ἐξερέω;will speak
γη̂ρας;old age
ἐρέφω;cover with a roof,
δέος;fear, alarm, affright
αὐ̂;again, anew, afresh, once more,
νίκη;contentious
τομάω;need cutting,
μάκαρος;[unavailable]
χρει̂ος;needing, in want of,
λιάζω;to be over-enthusiastic
ὠκίς;ear-ring,
κη̂δος;care about
πορφύρω;heaves, surges, swirls
ἀμβρόσιος;immortal, divine,
ἁλίζω;gather together, assemble
ἀνατίθημι;lay upon,
εὐχέτης;one who prays
ἱκανόω;make sufficient, qualify
φυή;growth, stature,
μοι̂ρα;part
ποντοπόρος;passing over the sea, seafaring
ὀπίσσω;[unavailable]
κυανέω;to be dark in colour
κατανέω;spin out
ἅλιος;of the sea
ὑποδρώω;to serve, be serviceable to
ψευδοκύων;sham Cynic,
πλέω;sail, go by sea,
ἐξερέω;inquire into
γηράσκω;grow old
σάος;more
        safe
δέος;fear, alarm,
τέλειος;perfect
αὐ̂;bow wow
νικάω;conquer, prevail
ξάνθη;a pale-coloured stone,
τομή;the end left after cutting, the stump
χρεώ;want, need;
πορφυρέω;[unavailable]
ἀμβροσία;immortality,
ἁλίζω;salt
εἴτε;sive..sive.., either..or.., whether..or..,
ἀκή;silence
ἀκή;healing
ἄκος;cure, remedy
ἀκή;point
ἀγών;gathering, assembly
ἄγη;wonder, amazement,
ἄγη;[unavailable]
ἀγή;breakage:
ἄγος;any matter of religious awe
ἀγή;[unavailable]
ἄγος;fragment
νεάζω;to be young
νέα;[unavailable]
ἀρέομαι;[unavailable]
ὅμοιος;like, resembling,
ἄμμος;[unavailable]
σής;moth
δεσμεύω;fetter, put in chains,
οἴκοι;at home, in the house,
ὑφάζω;[unavailable]
βρότος;blood that has run from a wound, gore
βάτης;one that treads
πάτρα;fatherland, native land
κυνέη;dog's skin
κωπέω;furnish with oars
φυσάω;blow, puff
θυάω;rut
φανάω;[unavailable]
ἔα;ha! oho
λάσιον;a rough cloth
Θόη;[unavailable]
σόος;safe, sound
μυρίος;numberless, countless, infinite
μάκρα;bath-tub
φύσις;origin,
δεσμός;band, bond, anything for tying and fastening,
ποι̂ος;of what kind?
ὑφή;web,
βροτόομαι;to be stained with gore
βατέω;cover,
πάτρη;native country, native land, home
ἐκάς;[unavailable]
κωπεύς;pieces of wood fit for making oars, spars
φανή;torch,
ἔα;[unavailable]
μήν;verily, truly
λάσιος;shaggy, woolly
λιπάω;to be sleek, radiant
ὁμοι̂ος;similar
σοέω;[unavailable]
μυριάομαι;[unavailable]
Πάρις;Paris
μάκρος;length
φύζω;[unavailable]
ὁδάω;export and sell
θύος;burnt sacrifice
ἐλλός;young deer
ποιός;of a certain nature, kind
βροτός;mortal man
βατός;passable, accessible,
ἄλλῃ;in another place, elsewhere
θοάς;fleet, swift
ἀντίον;[unavailable]
φανός;light, bright,
τίω;Erster Bericht
μήν;month
δέσμη;package, bundle,
λιπάζω;[unavailable]
κυνάς;of a dog
κώπη;handle
ὁμοιάζω;to be like,
μυριάς;number of
μάκρος;length
θύω;offer by burning
ποιός;of a certain nature, kind,
οἰκέω;inhabit,
μήνιον;[unavailable]
βιάζω;constrain
ῥύομαι;to draw to oneself
Πατρέες;citizens of Patras
ἀντίον;loom,
μύρω;flow, trickle
ἄμμος;sand,
τίω;[unavailable]
δεσμέω;undergo ankylosis,
ὑφάω;[unavailable]
βρότος;blood that has run from a wound, gore
φράτρα;brotherhood,
κυνάω;play the Cynic
κωπάω;[unavailable]
κνι̂σος;[unavailable]
θύω;rage, seethe
μείς;Ars Prooem.
μηνιάω;[unavailable]
ῥυσάω;[unavailable]
Θόας;[unavailable]
λίπα;richly
ἰάζω;[unavailable]
ἰάζω;cry aloud
ἴα;one
ἰάζω;to be of a violet colour
ἴα;violet,
ἰά;voice, cry
ἰά;arrow
νεόω;renovate, change,
δει̂νος;different round vessels,
γαιόω;make land, make solid
ἰσάζω;make equal, balance
μηλίς;a distemper of asses
κάλως;reefing rope, reef
ἰονθάς;shaggy
κάλη;[unavailable]
δεινάζω;to be in straits,
μαλίς;[unavailable]
κομάω;let the hair grow long
γαιών;heap of earth, boundary-heap,
εἰ̂τα;then, next,
μηλίς;yellow pigment
βιός;a bow
κόμη;hair of the head
δεινόω;make terrible: exaggerate,
κομέω;take care of, tend
θυμόω;make angry, provoke
βιός;bow
κα̂λον;wood
κόμης;comes
γάιος;on land
οἴη;[unavailable]
κομέω;[unavailable]
ἴτον;mushroom
δει̂νος;[unavailable]
γαίω;rejoice, exult
οἴη;[unavailable]
μηλίς;[unavailable]
βίος;life
κάλως;a reefing rope, reef
ἴονθος;root of a hair, young hair
ἄγαμαι;wonder,
Λευκάς;[unavailable]
λευκός;light, bright, clear
χραύω;scrape, graze, wound slightly,
λεύκη;leprosy
ᾐ̂α;[unavailable]
ποτέομαι;[unavailable]
ὀχή;prop, support
χρή;sum
ὄχα;far
λευκάς;mountain deadnettle, Lamium maculatum
ὀχός;firm, secure
χρη̂;need, necessity
ὄχος;carriage
λευκόν;white
χράω;fall upon, attack, assail,
νειός;fallow-land,
ἱεράζω;serve as priest
χρη̂;desires
ἤια;provisions for a journey
ὄχος;places of shelter
λευκός;light, bright, brilliant
χράω;proclaim,
προσίημι;let come to
ἱερόν;sacrifice,
        victim
ὀχάομαι;leap,
Ἴδης;[unavailable]
πόλιον;hulwort, Teucrium Polium,
πολέω;go about, range ouer, haunt,
πολιόω;turn grey,
οὐ̂ρος;urus, Bos primigenius,
οὐ̂ρον;limit, range
οὐρός;a trench
οὐ̂ρος;fair wind
οὐρός;trench
οὐ̂ρος;watcher, guardian
οὐ̂ρος;a boundary.
ὅρος;boundary, landmark,
οὐ̂ρον;urine
αἰθής;burning
αἰ̂θος;a burning heat, fire
αἰθός;shining, blazing
ἐράω;love,
ἔραμαι;love,
Αἴθη;[unavailable]
εἴθε;would that!
αἰθός;burnt
ἐράω;pour forth, vomit,
αἰθος;burning heat, fire
αἴθε;would that
αἴθω;light up, kindle
νεών;[unavailable]
νεώς;a temple
πόθος;longing, yearning, regret
